price,title,stars,customer_reviews,recommended_price,RAM,ROM,url
"EUR 409,00","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S8, Smartphone Libre (5.8"", 4GB RAM, 64GB, 12MP/Versión española: Incluye Samsung Pay, actualizaciones de Software y de Bixby, compatibilidad de Redes), Color Negro\n\n\n\n\n\n\n\n']",4.1 de un máximo de 5 estrellas,683 opiniones de clientes,,4 GB,64 GB,https://www.amazon.es/Samsung-Galaxy-Smartphone-Versi%C3%B3n-espa%C3%B1ola/dp/B06XXFHG6J
"EUR 429,99","['\n\n\n\n\n\n\n\n\nSamsung SM-G950F Galaxy S8 - Smartphone (SIM única, 4G, 64GB, 14,7 cm (5.8""), 12 MP, Android, 7.0), Rosa, -[Versión Alemana]\n\n\n\n\n\n\n\n']",4.6 de un máximo de 5 estrellas,3 opiniones de clientes,,4 GB,64 GB,https://www.amazon.es/Samsung-SM-G950F-Galaxy-S8-Smartphone/dp/B076X8K1ND
"EUR 414,42","[""\n\n\n\n\n\n\n\n\nSamsung Galaxy S8 - Smartphone libre (5.8'', 4GB RAM, 64GB, 12MP), Negro, - [Versión italiana: No incluye Samsung Pay ni acceso a promociones Samsung Members]\n\n\n\n\n\n\n\n""]",4.1 de un máximo de 5 estrellas,683 opiniones de clientes," EUR 809,00",4 GB,64 GB,https://www.amazon.es/Samsung-Galaxy-S8-Smartphone-promociones/dp/B06XWN7VCQ
"EUR 26,08","['\n\n\n\n\n\n\n\n\nSamsung Clear View Standing, Funda para smartphone Samsung Galaxy S8 Plus, Negro\n\n\n\n\n\n\n\n']",4.3 de un máximo de 5 estrellas,335 opiniones de clientes," EUR 49,90",1,No,https://www.amazon.es/Samsung-Clear-Standing-smartphone-Galaxy/dp/B01N5W90KS
"EUR 37,41","['\n\n\n\n\n\n\n\n\nSamsung Clear View Cover, Funda para smartphone Samsung Galaxy S8, Azul (Gloss Blue)\n\n\n\n\n\n\n\n']",4.2 de un máximo de 5 estrellas,578 opiniones de clientes,,-,5.8 pulgadas,https://www.amazon.es/Samsung-Clear-Cover-smartphone-Galaxy/dp/B01N7YRE8L
"EUR 19,80","['\n\n\n\n\n\n\n\n\nSamsung Dream Silicone Cover, Funda para smartphone Samsung Galaxy S8, Azul\n\n\n\n\n\n\n\n']",4.2 de un máximo de 5 estrellas,578 opiniones de clientes," EUR 29,90",1,No,https://www.amazon.es/Samsung-Dream-Silicone-Cover-Galaxy/dp/B01MRCT50P
"EUR 554,54","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S8 Plus - Smartphone libre de 6.2"" QHD+ (4 G, Bluetooth, Octa-Core S, 64 GB memoria interna, 4 GB RAM, camara de 12 MP, Android), Gris orquídea, - [Versión española]\n\n\n\n\n\n\n\n']",4.1 de un máximo de 5 estrellas,683 opiniones de clientes,,4 GB,64 GB,https://www.amazon.es/Samsung-Galaxy-Plus-Smartphone-Bluetooth/dp/B06XWXDMC2
"EUR 455,00","[""\n\n\n\n\n\n\n\n\nSamsung Galaxy S8 - Smartphone libre (5.8'', 4GB RAM, 64GB, 12MP), Gris, - [Versión italiana: No incluye Samsung Pay ni acceso a promociones Samsung Members]\n\n\n\n\n\n\n\n""]",4.1 de un máximo de 5 estrellas,683 opiniones de clientes," EUR 809,00",4 GB,64 GB,https://www.amazon.es/Samsung-Galaxy-S8-Smartphone-promociones/dp/B06XW9CFZH
"EUR 33,00","['\n\n\n\n\n\n\n\n\nSamsung Dream Clear View Stand Cover, Funda para smartphone Samsung Galaxy S8, Violeta\n\n\n\n\n\n\n\n']",4.2 de un máximo de 5 estrellas,578 opiniones de clientes," EUR 49,90",-,1,https://www.amazon.es/Samsung-Dream-smartphone-Galaxy-Violeta/dp/B01MRCT7ML
"EUR 20,40","['\n\n\n\n\n\n\n\n\nSamsung Dream Silicone Cover, Funda para smartphone Samsung Galaxy S8, Gris\n\n\n\n\n\n\n\n']",4.2 de un máximo de 5 estrellas,578 opiniones de clientes," EUR 29,90",1,No,https://www.amazon.es/Samsung-Dream-Silicone-Cover-Galaxy/dp/B01N3AQMP3
"EUR 416,00","[""\n\n\n\n\n\n\n\n\nSamsung Galaxy S8 -Smartphone libre (5.8'', 4GB RAM, 64GB, 12MP), Negro, - [Versión francesa: No incluye Samsung Pay ni acceso a promociones Samsung Members]\n\n\n\n\n\n\n\n""]",4.1 de un máximo de 5 estrellas,683 opiniones de clientes,,4 GB,64 GB,https://www.amazon.es/Samsung-Galaxy-Smartphone-Versi%C3%B3n-Francesa/dp/B06XW8Q72D
"EUR 26,08","['\n\n\n\n\n\n\n\n\nSamsung Clear View Cover, Funda para smartphone Samsung Galaxy S8, Negro\n\n\n\n\n\n\n\n']",4.2 de un máximo de 5 estrellas,578 opiniones de clientes," EUR 49,90",1,No,https://www.amazon.es/Samsung-Clear-View-Funda-Galaxy/dp/B01N9Y504T
"EUR 439,99","[""\n\n\n\n\n\n\n\n\nSamsung Galaxy S8, Smartphone libre (5.8'', 4GB RAM, 64GB, 12MP) [Versión alemana: No incluye Samsung Pay ni acceso a promociones Samsung Members], color Negro\n\n\n\n\n\n\n\n""]",4.1 de un máximo de 5 estrellas,683 opiniones de clientes,,64 GB,64,https://www.amazon.es/Samsung-Galaxy-Smartphone-Versi%C3%B3n-alemana/dp/B06XJ49G5B
"EUR 438,00","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S8 - Smartphone libre de 5.8"" QHD+ (4 G, Bluetooth, Octa-Core S, 64 GB memoria interna, 4 GB RAM, camara de 12 MP, Android), Gris orquídea, -[Versión española]\n\n\n\n\n\n\n\n']",4.1 de un máximo de 5 estrellas,683 opiniones de clientes," EUR 809,00",4 GB,64 GB,https://www.amazon.es/Samsung-Galaxy-Smartphone-Bluetooth-Octa-Core/dp/B06XWYWQ2L
"EUR 432,00","[""\n\n\n\n\n\n\n\n\nSamsung Galaxy S8 - Smartphone libre (5.8'', 4GB RAM, 64GB, 12MP), Gris orquídea, - [Versión alemana: No incluye Samsung Pay ni acceso a promociones Samsung Members]\n\n\n\n\n\n\n\n""]",4.1 de un máximo de 5 estrellas,683 opiniones de clientes,,64 GB,64,https://www.amazon.es/Samsung-Galaxy-S8-Smartphone-promociones/dp/B06XHRDF78
"EUR 436,96","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S8 - Smartphone libre de 5.8"" (4 G, Bluetooth, Octa-Core S, 64 GB memoria interna, 4 GB RAM, camara de 12 MP, Android), Plata, - [Versión española]\n\n\n\n\n\n\n\n']",4.1 de un máximo de 5 estrellas,683 opiniones de clientes," EUR 809,00",4 GB,64 GB,https://www.amazon.es/Samsung-Galaxy-Smartphone-Bluetooth-Octa-Core/dp/B06XXC5V5M
"EUR 22,99","['\n\n\n\n\n\n\n\n\nClayco Funda Galaxy S8, [Hera Series] Carcasa Resistente con Protector de Pantalla Integrado Para Samsung Galaxy S8 (Version 2017)(negro)\n\n\n\n\n\n\n\n']",4.0 de un máximo de 5 estrellas,57 opiniones de clientes,,No,TPU,https://www.amazon.es/Clayco-Actualizada-Resistente-Protector-Integrado/dp/B073TRVKKK
"EUR 23,99","['\n\n\n\n\n\n\n\n\nClayco Carcasa Galaxy S8, [Hera Series] Funda Resistente con Protector de Pantalla Integrado para Samsung Galaxy S8 (Version 2017) (Azul)\n\n\n\n\n\n\n\n']",4.0 de un máximo de 5 estrellas,57 opiniones de clientes,,No,TPU,https://www.amazon.es/Clayco-Resistente-Protector-Pantalla-Integrado/dp/B073TS869K
"EUR 23,99","['\n\n\n\n\n\n\n\n\nClayco Funda Galaxy S8, [Hera Series] Carcasa Resistente con Protector de Pantalla Integrado para Samsung Galaxy S8 (Version 2017)（Rosado/Dorado）\n\n\n\n\n\n\n\n']",4.0 de un máximo de 5 estrellas,57 opiniones de clientes,,No,No,https://www.amazon.es/Clayco-Actualizada-Resistente-Protector-Integrado/dp/B073TSJ2VW
"EUR 27,90","['\n\n\n\n\n\n\n\n\nSamsung Led View, Funda para smartphone Samsung Galaxy S8, Plata\n\n\n\n\n\n\n\n']",4.2 de un máximo de 5 estrellas,578 opiniones de clientes,,"productos de: Samsung, Galaxy S8",1,https://www.amazon.es/Samsung-EF-NG950-5-8-Folio-Plata/dp/B01MRCTEV3
"EUR 22,99",['\n\n\n\n\n\n\n\n\nCarcasa Clayco [Hera Series] Para Galaxy S8+ Plus. Carcasa Resistente con Protector de Pantalla Integrado Para Samsung Galaxy S8+ Plus (Version 2017) (Negro)\n\n\n\n\n\n\n\n'],4.4 de un máximo de 5 estrellas,101 opiniones de clientes,,No,TPU,https://www.amazon.es/Clayco-Resistente-Protector-Pantalla-Integrado/dp/B06XHLXNCL
"EUR 31,10","['\n\n\n\n\n\n\n\n\nSamsung Clear View Cover, Funda para smartphone Samsung Galaxy S8, Oro\n\n\n\n\n\n\n\n']",4.2 de un máximo de 5 estrellas,578 opiniones de clientes,,-,5.8 pulgadas,https://www.amazon.es/Samsung-599371031-Original-Dorada-Galaxy/dp/B01MZGKHQI
"EUR 10,99","['\n\n\n\n\n\n\n\n\namFilm Protector de Pantalla Galaxy S8, Cobertura Total (3D Curvo) Cristal Vidrio Templado Protector de Pantalla para Samsung Galaxy S8 (1 Pack, Negro)\n\n\n\n\n\n\n\n']",3.8 de un máximo de 5 estrellas,69 opiniones de clientes,,No,No,https://www.amazon.es/amFilm-Protector-Pantalla-Cobertura-Templado/dp/B07BH2BFLD
"EUR 29,32","['\n\n\n\n\n\n\n\n\nSamsung Dream Led View Cover, Funda para smartphone Samsung Galaxy S8, Violeta\n\n\n\n\n\n\n\n']",4.2 de un máximo de 5 estrellas,578 opiniones de clientes," EUR 59,90","productos de: Samsung, Galaxy S8",1,https://www.amazon.es/Samsung-Dream-Led-View-Cover/dp/B01N5W3ZOK
"EUR 9,99","['\n\n\n\n\n\n\n\n\nG-Color Galaxy S8 Protector de Pantalla, [2 Piezas], [Alta Definición y Sensibilidad] [Cobertura Perfecta] [Sin Burbujas] [Anti-arañazos] TPU, Protector de Pantalla para Samsung Galaxy S8\n\n\n\n\n\n\n\n']",4.1 de un máximo de 5 estrellas,426 opiniones de clientes,,,,https://www.amazon.es/G-Color-Protector-Definici%C3%B3n-Sensibilidad-Anti-ara%C3%B1azos/dp/B06WD8PT4D
"EUR 8,99","['\n\n\n\n\n\n\n\n\nspigen Funda Samsung Galaxy S8, [Rugged Armor] Absorción de Choque Resistente y diseño de Fibra de Carbono para Galaxy S8 (2017) - Negro\n\n\n\n\n\n\n\n']",4.7 de un máximo de 5 estrellas,229 opiniones de clientes,,"Resistente al polvo, Resistente a rayones, Resistente a golpes",No,https://www.amazon.es/Spigen-Rugged-Armor-absorci%C3%B3n-resistente/dp/B06XNNJ4KM
"EUR 19,59","['\n\n\n\n\n\n\n\n\nSamsung Dream Silicone Cover, Funda para smartphone Samsung Galaxy S8, Rosa\n\n\n\n\n\n\n\n']",4.2 de un máximo de 5 estrellas,578 opiniones de clientes," EUR 29,90",1,No,https://www.amazon.es/Samsung-Dream-Silicone-Cover-Galaxy/dp/B01N6XST9P
"EUR 12,99","['\n\n\n\n\n\n\n\n\nG-Color Galaxy S8 Protector Pantalla, [Alta Viscosidad], Cristal Vidrio Templado de 3D [Cobertura [Anti-Choque][Alta Sensibilidad] Protector de Pantalla para Samsung Galaxy S8\n\n\n\n\n\n\n\n']",4.0 de un máximo de 5 estrellas,53 opiniones de clientes,,,,https://www.amazon.es/G-Color-Protector-Viscosidad-Anti-Choque-Sensibilidad/dp/B07JMNJT4M
"EUR 415,00","[""\n\n\n\n\n\n\n\n\nSamsung Galaxy S8 - Smartphone libre (5.8'', 4GB RAM, 64GB, 12MP), Plata, - [Versión italiana: No incluye Samsung Pay ni acceso a promociones Samsung Members]\n\n\n\n\n\n\n\n""]",4.1 de un máximo de 5 estrellas,683 opiniones de clientes," EUR 809,00",4 GB,64 GB,https://www.amazon.es/Samsung-Galaxy-S8-Smartphone-promociones/dp/B06XWB84Q7
"EUR 26,08","['\n\n\n\n\n\n\n\n\nSamsung Clear View Standing, Funda para smartphone Samsung Galaxy S8 Plus, Violeta\n\n\n\n\n\n\n\n']",4.6 de un máximo de 5 estrellas,59 opiniones de clientes," EUR 49,90",1,6.2 pulgadas,https://www.amazon.es/Samsung-EF-ZG955CVEGWW-Clear-Standing-Cover/dp/B01MTG9BHO
"EUR 8,99","['\n\n\n\n\n\n\n\n\nQissy Carcasa Compatible with Samsung Galaxy S8,Gel TPU Silicona Flexible Cubierta Arquitectura Suave Protective Case Cover Skin para Samsung Galaxy S8 Plus\n\n\n\n\n\n\n\n']",4.7 de un máximo de 5 estrellas,7 opiniones de clientes,,,,https://www.amazon.es/Qissy-Silicona-Flexible-Arquitectura-Protective/dp/B06Y54HW7C
"EUR 435,00","[""\n\n\n\n\n\n\n\n\nSamsung Galaxy S8 - Smartphone libre (5.8'', 4GB RAM, 64GB, 12MP), Plata, - [Versión alemana: No incluye Samsung Pay ni acceso a promociones Samsung Members]\n\n\n\n\n\n\n\n""]",4.1 de un máximo de 5 estrellas,683 opiniones de clientes,,64 GB,64,https://www.amazon.es/Samsung-Galaxy-S8-Smartphone-promociones/dp/B06XJ65K58
